ID,Road,Name,District,RoadClass,Planned,Latitude,Longitude,StartTime,EndTime,MaxImpact,CurrImpact,Type,SubType,DirectionsAffected,WorkEventType,Signing
Tor-RD52026-2171-7,Rimrock Rd,Rimrock Rd 7 m East of Whitehorse Rd to 8 m West of William R Allen Rd,NORTH YORK,Local Road,1,43.756360,-79.471210,1779706800000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD022026-97-1,Sheppard Ave W,Sheppard Ave W at Gorman Park Rd to 61 m East of Blairville Rd,NORTH YORK,Major Arterial Road,1,43.753450,-79.448400,1779966000000,1782505800000,High,High,CONSTRUCTION,,ONE_DIRECTION,Long term construction staging,
Tor-RD042026-342-1,Bain Ave,Bain Ave 18 m East of Pape Ave to Pape Ave,TORONTO,Local Road,1,43.672990,-79.342200,1774868400000,1785445200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Metrolinx,
Tor-RD1H2026-933-2,Coules Crt,Coules Crt 71 m North of Ecker Dr to 43 m North of Ecker Dr,ETOBICOKE,Local Road,1,43.607970,-79.549560,1779966000000,1788210000000,Low,Low,CONSTRUCTION,,BOTH_DIRECTIONS,Toronto Hydro,
Tor-RD1H2026-933-8,Gair Dr,Gair Dr 12 m North of Ecker Dr to 9 m South of Ecker Dr,ETOBICOKE,Local Road,1,43.607200,-79.550980,1779966000000,1788210000000,Low,Low,CONSTRUCTION,,BOTH_DIRECTIONS,Toronto Hydro,
Tor-RD1H2026-933-9,Ecker Dr,Ecker Dr 14 m East of Gair Dr to 8 m West of Gair Dr,ETOBICOKE,Local Road,1,43.607140,-79.550770,1779966000000,1788210000000,Low,Low,CONSTRUCTION,,BOTH_DIRECTIONS,Toronto Hydro,
Tor-RD52026-858-1,Runnymede Rd,Runnymede Rd 33 m North of St Clair Ave W to 6 m South of Liverpool St,YORK and TORONTO,Local Road,1,43.669260,-79.483670,1777633200000,1782507600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD042026-342-2,Pape Ave,Pape Ave at Bain Ave to 16 m North of Bain Ave,TORONTO,Minor Arterial Road,1,43.672940,-79.342410,1774868400000,1785445200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Metrolinx,
Tor-RD1H2026-451-3,Warden Ave,Warden Ave 34 m North of Ln N Danforth W Warden to 69 m South of Butterworth Ave,SCARBOROUGH,Minor Arterial Road,1,43.695280,-79.274040,1779793200000,1782082800000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD012026-135-2,Hollyberry Trl,Hollyberry Trl 11 m South of Cliffwood Rd to 94 m East of Freshmeadow Dr,NORTH YORK,Local Road,1,43.808110,-79.352880,1770638400000,1782860400000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,Water Service,
Tor-RD1H2026-739-14,Westhead Rd,Westhead Rd 13 m North of Highbury Dr to 4 m South of Highbury Dr,ETOBICOKE,Local Road,1,43.602700,-79.554300,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-739-12,Dunning Cres,Dunning Cres 20 m West of Westhead Rd to 6 m West of Westhead Rd,ETOBICOKE,Local Road,1,43.603190,-79.554800,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-739-20,Dunning Cres,Dunning Cres 46 m West of Westhead Rd to 88 m Southwest of Westhead Rd,ETOBICOKE,Local Road,1,43.601700,-79.554490,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD52026-650-1,Maple Leaf Dr,Maple Leaf Dr 72 m West of Black Creek to 10 m East of Jane St,NORTH YORK,Local Road,1,43.709490,-79.504100,1776078000000,1782687600000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD1M2026-06-4,Leslie St,Leslie St 25 m Northwest of Leslie N 401 C W Ramp to 118 m North of Lesmill Rd,NORTH YORK,Major Arterial Road,1,43.766780,-79.363270,1774263600000,1790632800000,High,High,CONSTRUCTION,,ONE_DIRECTION,Other,
Tor-RD1M2026-06-3,Leslie St,Leslie St 36 m Northwest of Oriole Go Station to 45 m Southeast of Leslie S 401 C E Ramp,NORTH YORK,Major Arterial Road,1,43.767520,-79.363870,1774263600000,1790632800000,High,High,CONSTRUCTION,,ONE_DIRECTION,Other,
Tor-RD52026-2152,Kane Ave,Kane Ave 6 m Northeast of Lavender Rd to 2 m South of Rogers Rd,YORK,Local Road,1,43.680620,-79.466360,1779361200000,1785538800000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,ONE_DIRECTION,"{tabledata"":[{""Option"":""Transportation Services""""",
Tor-RD1H2026-933-14,Ecker Dr,Ecker Dr 24 m East of Savona Dr to 2 m East of Savona Dr,ETOBICOKE,Local Road,1,43.606630,-79.553030,1779966000000,1788210000000,Low,Low,CONSTRUCTION,,BOTH_DIRECTIONS,Toronto Hydro,
Tor-RD52026-874-10,Faith Ave,Faith Ave 10 m East of Wilson Heights Blvd to Wilson Heights Blvd,NORTH YORK,Local Road,1,43.738430,-79.450680,1775559600000,1797631200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-874-11,Wilson Heights Blvd,Wilson Heights Blvd from Faith Ave to Model Ave,NORTH YORK,Minor Arterial Road,1,43.738400,-79.450800,1775559600000,1797631200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-874-12,Model Ave,Model Ave at Wilson Heights Blvd to 13 m West of Faywood Blvd,NORTH YORK,Local Road,1,43.737360,-79.450400,1775559600000,1797631200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-874-9,Faith Ave,Faith Ave at Faywood Blvd to 10 m East of Wilson Heights Blvd,NORTH YORK,Local Road,1,43.739130,-79.447430,1775559600000,1797631200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD062026-56,Courtwright Rd,Courtwright Rd 4 m East of Rangoon Rd to 6 m East of Hartland Rd,ETOBICOKE,Local Road,1,43.668420,-79.580190,1770206400000,1783371600000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Road Resurfacing, Road Recontruction, Sidewalk Construction",
Tor-RD062026-57,Rangoon Rd,Rangoon Rd 101 m Northwest of Wellesworth Dr to Courtwright Rd,ETOBICOKE,Local Road,1,43.667160,-79.579450,1770724800000,1783371600000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Road Resurfacing, Road Recontruction, Sidewalk Construction",
Tor-RD062026-59,Gentian Dr,Gentian Dr at Wellesworth Dr to 20 m East of Renforth Dr,ETOBICOKE,Local Road,1,43.665230,-79.581550,1774436400000,1790370000000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Road Resurfacing, Road Recontruction, Sidewalk Construction",
Tor-RD52026-1193,Park Ave,Park Ave 17 m West of Willow Ave to 28 m West of Willow Ave,TORONTO,Local Road,1,43.670990,-79.285820,1780138800000,1781478000000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1849-7,Frimette Cres,Frimette Cres at Cynthia Rd to 8 m North of Cynthia Rd,YORK,Local Road,1,43.677680,-79.505010,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1849-8,Frimette Cres,Frimette Cres 8 m North of Cynthia Rd to Cynthia Rd,YORK,Local Road,1,43.677750,-79.505020,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1849-9,Cynthia Rd,Cynthia Rd from Frimette Cres to Scarlett Rd,YORK,Local Road,1,43.677680,-79.505010,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1849-10,Scarlett Rd,Scarlett Rd from Cynthia Rd to East Dr,YORK,Minor Arterial Road,1,43.677460,-79.506360,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1220-2,Kennedy Rd,Kennedy Rd 245 m North of Brenda Cres to 145 m North of Brenda Cres,SCARBOROUGH,Major Arterial Road,1,43.719600,-79.262560,1778670000000,1782860400000,High,High,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Other""""",
Tor-RD52026-650-3,Maple Leaf Dr,Maple Leaf Dr 21 m West of Highway 400 S to 38 m West of Black Creek,NORTH YORK,Local Road,1,43.709940,-79.501780,1776078000000,1782687600000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-650-4,Maple Leaf Dr,Maple Leaf Dr 22 m West of Highway 400 S to 39 m West of Black Creek,NORTH YORK,Local Road,1,43.709940,-79.501790,1776078000000,1782687600000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-650-2,Maple Leaf Dr,Maple Leaf Dr 83 m West of Black Creek to 10 m East of Jane St,NORTH YORK,Local Road,1,43.709470,-79.504230,1776078000000,1782687600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD1H2026-739-16,Westhead Rd,Westhead Rd 3 m South of Highbury Dr to 15 m North of Dunning Cres,ETOBICOKE,Local Road,1,43.602560,-79.554240,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-739-15,Highbury Dr,Highbury Dr 7 m East of Westhead Rd to 19 m East of Westhead Rd,ETOBICOKE,Local Road,1,43.602600,-79.554170,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-739-17,Westhead Rd,Westhead Rd 10 m Southeast of Dunning Cres to 9 m North of Dunning Cres,ETOBICOKE,Local Road,1,43.601720,-79.553880,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1H2026-739-18,Dunning Cres,Dunning Cres 2 m West of Westhead Rd to 12 m West of Westhead Rd,ETOBICOKE,Local Road,1,43.601800,-79.553950,1777287600000,1787864400000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Toronto Hydro,
Tor-RD1M2026-06-5,Leslie St,Leslie St 127 m South of Leslie S 401 C E Ramp to 34 m Northwest of Oriole Go Station,NORTH YORK,Unknown,1,43.764890,-79.362020,1774263600000,1790632800000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,Other,
Tor-RD52026-1849-5,Frimette Cres,Frimette Cres 5 m West of Cynthia Rd to Cynthia Rd,YORK,Local Road,1,43.679330,-79.503570,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-1849-4,Frimette Cres,Frimette Cres at Cynthia Rd to 5 m West of Cynthia Rd,YORK,Local Road,1,43.679340,-79.503510,1778238000000,1793577600000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-871-2,Manstor Rd,Manstor Rd 17 m West of Boncer Dr to North Queen St,ETOBICOKE,Local Road,1,43.617680,-79.561700,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-871-3,North Queen St,North Queen St at Manstor Rd to 3 m North of Manstor Rd,ETOBICOKE,Minor Arterial Road,1,43.618220,-79.557670,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-871-4,North Queen St,North Queen St 3 m North of Manstor Rd to 115 m East of Hepc,ETOBICOKE,Minor Arterial Road,1,43.618240,-79.557660,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-871-5,North Queen St,North Queen St 115 m East of Hepc to 114 m East of Hepc,ETOBICOKE,Minor Arterial Road,1,43.619130,-79.555300,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD52026-871-6,North Queen St,North Queen St 114 m East of Hepc to 114 m East of Hepc,ETOBICOKE,Minor Arterial Road,1,43.619130,-79.555310,1775559600000,1781305200000,Low,Low,CONSTRUCTION,,ONE_DIRECTION,"{tabledata"":[{""Option"":""Toronto Water""""",
Tor-RD052025-303-4,Linden Ave,Linden Ave 134 m South of Corvette Ave to 171 m South of Corvette Ave,SCARBOROUGH,Local Road,1,43.725360,-79.259020,1761217200000,1790809200000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Toronto Water, Other",
Tor-RD062025-2361,Beckwith Rd,Beckwith Rd 6 m North of Ln S Eringate W Odessa to 110 m West of Sigmont Rd,ETOBICOKE,Local Road,1,43.660740,-79.575130,1774436400000,1790370000000,Low,Low,ROAD_CLOSED,ROAD_CLOSED_CONSTRUCTION,BOTH_DIRECTIONS,"Road Resurfacing, Road Recontruction, Sidewalk Construction",
